"Year","DFO - 3C","DFO - 3D","DFO - 4B","DFO - 5A","DFO - 5B","DFO - 5C","DFO - 5D","DFO - 5E","NWFSC"
1980,0,0,0,0,79,167,37,0,0
1982,0,0,0,0,0,390,150,0,0
1984,284,0,0,0,0,0,0,0,0
1989,0,0,669,0,0,0,0,0,0
1998,52,49,0,119,41,0,55,65,0
2000,0,0,0,0,0,0,58,0,0
2004,113,0,533,0,0,0,0,0,0
2006,40,0,0,0,0,0,0,0,0
2007,118,6,0,0,87,0,0,0,0
2010,0,0,0,0,0,0,0,0,594
